Nombre Exposiciones	Artista(s)	Artistas_std	Nacionalidad	Año de la exposición	mes	Fecha de inicio de la exposición	Fecha de inicio de la exposición según soporte	Fecha de finalización de la exposición según soporte	Duración de la exposición (en días)	Tipo de exposición	Tema	Técnica	Detalles de técnica	Curaduría	Presentación de la exposición	Auspiciador(es)	Autor del material promocional de la exposición	Texto(s) del material promocional de la exposición	Sala de Exposición	Signatura	Documento de soporte	Presidente	Director	Junta Directiva	Junta Asesora	Diseño	Impresión	Obras de la coleción	Códigos de las obras
Exposición de mujeres artistas	Olga de Amaral, Gracia Barrios, Roser Bru, Feliza Bursztyn, María Fernanda Cardozo, Beatriz Daza, Geny Dignac, Beatriz González, María de la Paz Jaramillo, Luz Ángela Lizarazo, Cristina Llano, Marta Minujin, María José Morales, Maria Thereza Negreiros, Liliana Porter, Mercedes Sebastián, Lucy Tejada, Linda Troeller, Bibiana Vélez,Marta Lucía Villafañe	Olga de Amaral, Gracia Barrios, Roser Bru, Feliza Bursztyn, María Fernanda Cardoso, Beatriz Daza, Geny Dignac, Beatriz González, María de la Paz Jaramillo, Luz Ángela Lizarazo, Cristina Llano, Marta Minujín, María José Morales, María Thereza Negreiros, Liliana Porter, Mercedes Sebastián, Lucy Tejada, Linda Troeller, Bibiana Vélez,Marta Lucía Villafañe	Varias	2004	3	4-mar.				Colectiva		Pintura, Escultura, Dibujo, Fotografía, Objetos,Video		NA		Despacho de la Primera Dama del Valle del Cauca, Secretaría de Cultura y Turismo de Cali, Ministerio de Cultura, Corporación para la Cultura de Cali , Industria de Licores del Valle			Sala de la Colección										
Exposición de Enrique Buenaventura	Enrique Buenaventura	Enrique Buenaventura	Colombiana	2004	4	6-abr.				Retrospectiva-individual		NA		NA					Alterna										
Exposición de Jaime Franco	Jaime Franco	Jaime Franco	Colombiana	2004	4	22-abr.			60 días	Individual		Pintura		NA		Galería El Museo de Bogotá, Ministerio de Cultura, Secretaría de Cultura y Turismo de Cali	Miguel González		Nuevas Salas	0094f									
Exposición de arte americano 2004	Varios	Varios	Varias	2004	5	Mayo				Colectiva		Pintura, Escultura, Arte Gráfico, Fotografía, Objetos,Video		NA		Ministerio de Cultura, Secretaría de Cultura y Turismo del Valle del Cauca , Corporación para la Cultura de Cali			Sala de la Colección										
Diez Metros Cúbicos: Cuarto Mundo	Jaime Ávila	Jaime Ávila	Colombiana	2004	5	6-may.			30 días	Individual		Instalación		NA		Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali	Miguel González, María Iovino y Jaime Ávila		Rotatoria	0125p y 0095f									
Exposición de Enrique Grau 2004	Enrique Grau	Enrique Grau	Colombiana	2004	6	17-jun.				Retrospectiva-individual		Pintura, Escultura, Dibujo,Objetos		NA		Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali			Sala de la Colección										
Enrique Grau y Su Generación	Alejandro Obregón, Édgar Negret, Guillermo Wiedemann, Hernando Tejada, Eduardo Ramírez Villamizar, Lucy Tejada, Fernando Botero,Hernán Díaz	Alejandro Obregón, Édgar Negret, Guillermo Wiedemann, Hernándo Tejada, Eduardo Ramírez Villamizar, Lucy Tejada, Fernando Botero,Hernán Díaz	Colombiana	2004	6	17-jun.				Retrospectiva-colectiva		Varias		Miguel González		Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali			Rotatoria										
Exposición de Alberto Baraya y Víctor Robledo	Alberto Baraya,Víctor Robledo	Alberto Baraya,Víctor Robledo	Colombiana	2004	6	24-jun.			60 días	Colectiva		Fotografía, Objetos, Instalación,Video		Miguel González		Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali			Nuevas Salas										
XIX Bienal de Arquitectura Colombiana	Varios	Varios	Colombiana	2004	7	31-jul.			45 días	Colectiva		Arquitectura		NA		Sociedad Colombiana de Arquitectos, Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali			Rotatoria										
Muestra de fotografía de la Colección del Museo de Arte Moderno La Tertulia 2004	Eugenio Dittborn, Linda Troeller, Juan Mejía, Wilson Díaz, Lalo Borja, Becky Mayer, Jaime Ávila,Mercedes Sebastian	Eugenio Dittborn, Linda Troeller, Juan Mejía, Wilson Díaz, Lalo Borja, Becky Mayer, Jaime Ávila,Mercedes Sebastián	Colombiana	2004	8	Agosto				Colectiva		Fotografía		Miguel González					Nuevas Salas										
Exposición de calcografías del Louvre	Varios	Varios	Varias	2004	8	5-ago.				Retrospectiva-colectiva		Calcografía		Museo de Francia,Asociación Francesa de Acción Artística		Alianza Colombo-francesa,Corporación para la Cultura de Cali			Sala de la Colección										
Donación Botero 2004	Fernando Botero	Fernando Botero	Colombiana	2004	9	29-sept.			80 días	Individual		Pintura,Dibujo		Museo Nacional de Colombia		Ministerio de Cultura, Deprisa, Sociedad Portuaria Regional de Buenaventura, Banco de Occidente, Telepacífico, Young & Rubicam, El País , Secretaría de Cultura y Turismo de Cali			Sala de la Colección										
Otro Documento	Fernell Franco	Fernell Franco	Colombiana	2004	9	16-sept.				Retrospectiva-individual		Fotografía		María Lobino		Centro Cultural Comfandi, Centro para la Ciencia la Cultura y la Educación-CECCE, Cámara de Comercio de Cali, Banco de la República, Secretaría de Cultura y Turismo de Cali, Secretaría de Cultura y Turismo del Valle del Cauca, Biblioteca Departamental del Valle del Cauca, Embajada de Colombia en Argentina, Emilio Antonio Nejem, Instituto Distrital de Cultura y Turismo de Bogotá D.C., Alianza Colombo-francesa, Alianza Colombo-francesa de Bogotá, Universidad del Valle, Universidad Autónoma de Occidente, Ministerio de Cultura, Baterías Mac, Ministerio de Relaciones Exteriores , Pontificia Universidad Javeriana	María Iovino y Fernell Franco		Rotatoria	0099c y 0126p									
Dibujar en las Americas	Rodolfo Abularach (Guatemala), Leonel Góngora, Pedro Alcántara, Luis Caballero, Santiago Cardenas, Antonio Caro, David Manzur, Óscar Muñoz (Colombia), José Balmes, Gracia Barrios, Eugenio Dittborn (Chile), Fernando de Szyzslo (Perú), José Gamarra, Luis Solari (Uruguay), Flavio Garcianda (Cuba), John Paul Jones (EE.UU.), Daniel Senise (Brasil), Luis Fernando Peláez, Liliana Porter,Antonio Seguí (Argentina)	Rodolfo Abularach , Leonel Góngora, Pedro Alcántara, Luis Caballero, Santiago Cardenas, Antonio Caro, David Manzur, Óscar Muñoz, José Balmes, Gracia Barrios, Eugenio Dittborn , Fernando de Szyszlo, José Gamarra, Luis Solari , Flavio Garciandía, John Paul Jones , Daniel Senise , Luis Fernando Peláez, Liliana Porter,Antonio Seguí	Varias	2004	9	Septiembre				Colectiva		Dibujo		NA		Proartes	Miguel González			0127p									
Fashion Art	Varios	Varios	Varias	2004	9	15-sept.				Colectiva		Diseño de modas		NA					Nuevas Salas										
Cafés Literarios	Varios	Varios	Varias	2004	10	22-oct.				Temática-colectiva	Cafés literarios	Varias		Gérard Georges,Marc Sagaert		Alianza Colombo-francesa			Rotatoria										
Muestra de Édgar Negret y de nuevas adquisiciones del Museo de Arte Moderno La Tertulia	Édgar Negret, Eduardo Ramírez Villamizar, Carlos Rojas, Jaime Franco, Beatriz Grau, Ana María Millán, Bernardo Ortiz, Ángela Villegas, Víctor Robledo (Colombia), María Angélica Medina, Arthur Tashko (Albania-Colombia),Francois Dolmetsch (Gran Bretaña-Colombia)	Édgar Negret, Eduardo Ramírez Villamizar, Carlos Rojas, Jaime Franco, Beatriz Grau, Ana María Millán, Bernardo Ortiz, Ángela Villegas, Víctor Robledo , María Angélica Medina, Arthur Tashko,Francois Dolmetsch 	Varias	2004	11	Noviembre				Colectiva		NA		Miguel González					Nuevas Salas										
Exposición-homenaje a Maritza Uribe de Urdinola	Varios	Varios	Varias	2004	11	30-nov.				Colectiva		Varias		Miguel González					Sala de la Colección										
Muestra de maestros latino-americanos de la Colección del Museo de Arte Moderno La Tertulia 2004	Diego Rivera, José Clemente Orozco, Rufino Tamayo, José Luis Cuevas, David Alfaro Siqueiros (México), Wilfredo Lam (Cuba), Eugenio Dittborn, Roberto Sebastián Matta (Chile), Jesús Rafael Soto, Carlos Cruz-Díez (Venezuela), Oswaldo Guayasamín (Ecuador), Antonio Berni, Liliana Porter (Argentina), Rodolfo Abularach (Guatemala), Fernando de Szyszlo (Perú), Alejandro Obregón, Juan Antonio Roda (España-Colombia), Beatriz González, Enrique Grau, María de la Paz Jaramillo, Ómar Rayo (Colombia),Luis Camnitzer (Uruguay)	Diego Rivera, José Clemente Orozco, Rufino Tamayo, José Luis Cuevas, David Alfaro Siqueiros , Wifredo Lam , Eugenio Dittborn, Roberto Sebastián Matta , Jesús Rafael Soto, Carlos Cruz-Diez, Oswaldo Guayasamín, Antonio Berni, Liliana Porter , Rodolfo Abularach , Fernando de Szyszlo, Alejandro Obregón, Juan Antonio Roda, Beatriz González, Enrique Grau, María de la Paz Jaramillo, Ómar Rayo,Luis Camnitzer 	Varias	2004	12	Diciembre				Colectiva		Arte Gráfico	Serigrafía, xilografía, litografía y grabado en metal	Miguel González					Sala de la Colección										
El Artista y la Alquimia	Varios 	Varios 	Varias	2005	1	25-ene.				Colectiva		Grabado	Litografía	NA		Centro Colombo-americano de Cali, Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali			Sala de la Colección (Maritza Uribe de Urdinola)										
Muestra de arte gráfico latino-americano de la Colección del Museo de Arte Moderno La Tertulia 2005	Varios 	Varios 	Varias	2005	1	Enero				Colectiva		Arte Gráfico		Miguel González					Rotatoria										
Muestra de escultura, fotografía y nuevas adquisiciones del Museo de Arte Moderno La Tertulia	Édgar Negret, Eduardo Ramírez Villamizar, Carlos Rojas, Juan Manuel Echavarría, Juan Mejía, Jaime Ávila, Wilson Díaz, Becky Meyer, Lalo Borja, Eduardo Carvajal, Jaime Franco, Ángela Villegas, Ana María Millán, Víctor Robledo, Bernardo Ortiz, María Angélica Medina (Colombia), Beatriz Grau (Venezuela), Linda Troeller (EE.UU.), Mercedes Sebastian (España), Francois Dolmetsch (Gran Bretaña-Colombia),Arthur Taschko (Albania-Colombia)	Édgar Negret, Eduardo Ramírez Villamizar, Carlos Rojas, Juan Manuel Echavarría, Juan Mejía, Jaime Ávila, Wilson Díaz, Becky Mayer, Lalo Borja, Eduardo Carvajal, Jaime Franco, Ángela Villegas, Ana María Millán, Víctor Robledo, Bernardo Ortiz, María Angélica Medina , Beatriz Grau, Linda Troeller , Mercedes Sebastián, Francois Dolmetsch ,Arthur Tashko	Varias	2005	2	Febrero				Colectiva		Varias		Miguel González					Nuevas Salas										
Contra el Olvido	Varios 	Varios 	Varias	2005	2	9-feb.			30 días	Colectiva		Fotografía		NA			María Iovino y Alba Stella Barreto		Nuevas Salas	0128p y 0129p									
Sinfonía Desnuda	Francois Dolmetsch	Francois Dolmetsch	Británica-colombiana	2005	3	31-mar.			45 días	Individual		Fotografía		NA		Ministerio de Cultura,Alcaldía de Cali	Miguel González		Rotatoria	0130p									
El Retrato: Realidad y Percepción	Varios 	Varios 	Colombiana	2005	4	21-abr.			45 días	Colectiva	El retrato en la historia del arte colombiano	Pintura		Museo Nacional de Colombia, Deprisa,Asociación de Amigos del Museo Nacional de Colombia		Ministerio de Cultura, Asociación de Amigos del Museo Nacional de Colombia, Deprisa,Alcaldía de Cali	Elvira Cuervo de Jaramillo		Sala de la Colección (Maritza Uribe de Urdinola)	0131p									
Exposición de Carlos Rojas 2005	Carlos Rojas	Carlos Rojas	Colombiana	2005	5	5-may.			45 días	Retrospectiva-individual		Pintura		Cristo Hoyos,Javier Mejía		Ministerio de Cultura,Alcaldía de Cali	Zarita Abello de Bonilla, Cristo Hoyos y Javier Mejía 		Nuevas Salas	0100c									
Terrorista Colombiano	Leonardo Herrera	Leonardo Herrera	Colombiana	2005	5	7-may.				Individual		Varias		NA					Nuevas Salas										
Exposición de Diego Pombo	Diego Pombo	Diego Pombo	Colombiana	2005	6	23-jun.				Retrospectiva-individual		Varias		NA		Ministerio de Cultura,Alcaldía de Cali			Nuevas Salas										
Fragmentum	Ángela Villegas	Ángela Villegas	Colombiana	2005	6	2-jun.				Individual		Varias		NA		Ministerio de Cultura,Alcaldía de Cali	Fernando Zalamea		Sala de la Colección (Maritza Uribe de Urdinola)	0132p									
Un Siglo de Grabado Chino	Varios 	Varios 	China	2005	7	14-jul.				Retrospectiva-colectiva		Grabado	Xilografía	NA		Ministerio de Cultura, Alcaldía de Cali,Embajada de la República Popular de China			Sala de la Colección (Maritza Uribe de Urdinola)										
Pura Ilusión y Gente Brillante	Andrea Valencia,Juan Melo	Andrea Valencia,Juan Melo	Colombiana	2005	7	Julio				Colectiva		Varias		NA					Alterna										
Cali: Ciudad Visible	Varios 	Varios 	Colombiana	2005	8	16-ago.			30 días	Temática-colectiva	Cali	Fotografía		NA		Ministerio de Cultura, Gobernación del Valle del Cauca, Alcaldía de Cali, Secretaría de Cultura y Turismo de Cali,   Fundación Función Visible, Comfenalco, Cámara de Comercio de Cali, Proartes, Centro Cultural Comfandi, Instituto Departamental de Bellas Artes, Museo Arqueológico La Merced, Pontificia Universidad Javeriana, Fundación Éxito, Casa Color, La 14, Everest Medical, Titan Intercontinental, Hotel Casa Republicana, Telesat, caliescali.com , Coomoepal	María Consuelo Araújo, Apolinar Salcedo Caicedo, María Cristina Jiménez Fernández, Mónika Herrán Restrepo, Julián Malatesta, Luc Chessex, Juan Luis Mejía Arango, Eduardo Serrano, Gabriel Mario Vélez, Miguel González, Pedro Alcántara y Germán García		Rotatoria	0101c									
El Acontecer Social en la Vida de Pedro Nel Gómez	Pedro Nel Gómez	Pedro Nel Gómez	Colombiana	2005	9	22-sept.				Retrospectiva-individual		Pintura		NA		Proartes, Ministerio de Cultura, Bancolombia, Banco de Colombia, Fundación Casa-museo Maestro Pedro Nel Gómez, Centro Colombo-americano de Medellín, Universidad de Antioquia , Alcaldía de Cali	Diego León Arango Gómez		Sala de la Colección (Maritza Uribe de Urdinola)	0133p									
Exposición de Juan Antonio Roda 2005	Juan Antonio Roda	Juan Antonio Roda	Española-colombiana	2005	9	22-sept.				Retrospectiva-individual		Grabado		NA		Proartes, Ministerio de Cultura, Banco de Colombia,Alcaldía de Cali			Nuevas Salas	0134p									
Exposición de Ana Mercedes Hoyos	Ana Mercedes Hoyos	Ana Mercedes Hoyos	Colombiana	2005	9	22-sept.				Individual		Varias		NA		Proartes, Ministerio de Cultura, Banco de Colombia,Alcaldía de Cali	Miguel González		Nuevas Salas	0135p									
Exposición de Gustavo Hansson	Gustavo Hansson	Gustavo Hansson	Colombiana	2005	10	Octubre				Individual		Fotografía,Video-Instalación		NA		Pro-Helevetia de Suiza			Rotatoria										
Entorno al Cuerpo	Rodolfo Abularach, Pedro Alcántara, Álvaro Barrios, Gracias Barrios, Luis Caballero, Delia Cugat, Carlos Collazo, Leonel Góngora, Enrique Grau, Lorenzo Jaramillo, Germán Londoño, Darío Morales, Óscar Muñoz, Rafael Ortiz, Francisco Rodón, Mariano Rodríguez, Antonio Seguí, Rosemberg Sandoval, Bibiana Vélez,Carlos Serpa  	Rodolfo Abularach, Pedro Alcántara, Álvaro Barrios, Gracia Barrios, Luis Caballero, Delia Cugat, Carlos Collazo, Leonel Góngora, Enrique Grau, Lorenzo Jaramillo, Germán Londoño, Darío Morales, Óscar Muñoz, Rafael Ortiz, Francisco Rodón, Maríano Rodríguez, Antonio Seguí, Rosemberg Sandoval, Bibiana Vélez,Carlos Zerpa  	Varias	2005	10	6-oct.				Colectiva	El cuerpo como problema del humanismo	Varias		Miguel González		Ministerio de Cultura,Alcaldía de Cali	Miguel González		Rotatoria	0027v									
Ciudad-quimera: Propuestas Utopicas para Cali	César García	César García	Colombiana	2005	10	4-oct.				Temática-individual	Ciudad	NA		NA					Alterna										
Salón Regional	Varios	Varios	Colombiana	2005	11	3-nov.				Colectiva		Varias		Helena Producciones					Alterna										
Entre Siglos	Francisco Antonio Cano, Jesús María Zamora, Débora Arango, Eladio Vélez, Enrique Grau, Pedro Nel Gómez, Noé León, Alejandro Obregón, Carlos Correa, Luis Caballero, Beatriz González, Manuel Hernández, Maurio Gómez, Fredy Serna,Luis Fernando Peláez 	Francisco Antonio Cano, Jesús María Zamora, Débora Arango, Eladio Vélez, Enrique Grau, Pedro Nel Gómez, Noé León, Alejandro Obregón, Carlos Correa, Luis Caballero, Beatriz González, Manuel Hernández, Maurio Gómez, Fredy Serna,Luis Fernando Peláez 	Colombiana	2005	11	16-nov.			75 días	Colectiva		Pintura, Dibujo,Collage	Acuarela, dibujo y collage 	Alberto Sierra		Suramericana de Seguros, Ministerio de Cultura,Alcaldía de Cali	Gonzalo Pérez Rojas y Nicanor Restrepo Santamaría		Nuevas Salas	0102c									
Exposición de Raheel Bruns	Raheel Bruns	Raheel Bruns	Alemana	2005	12	15-dic.				Individual		Grafiti		Luis Ricaurte					Alterna										
Salón de Arte Joven 2005	Varios 	Varios 	Colombiana	2005	12	Diciembre				Colectiva		Varias		NA		Embajada de Francia			Sala de la Colección (Maritza Uribe de Urdinola)										
La Inmortalidad de los Inmortales y Cosas del Pasado	José Orlando Salgado (Colombia),Jan Van Leeuwen (Holanda)	José Orlando Salgado ,Jan Van Leeuwen 	Varias	2006	1	Enero				Colectiva		Fotografía		NA		Embajada de Francia,Alianza Colombo-francesa			Rotatoria										
Eduardo Ramírez Villamizar y su Entorno	Eduardo Ramírez Villamizar, Édgar Negret, Hernando Tejada, Ómar Rayo, Carlos Rojas, Álvaro Barrios, Feliza Busztyn, Bernardo Salcedo, Beatriz Daza, Jim Amaral, Ana Mercedes Hoyos, Hugo Zapata, Nadín Ospina, Consuelo Gómez, Elías Heim, Pablo Van Wong, Jorge Acero, Wilmer García, Pedro Alcántara, Beatriz González (Colombia), Enrique Grau (Panamá-Colombia), María Thereza Negreiros (Brasil-Colombia), Rubens Gerchman (Brasil), Yukata Toyota (Japón-Brasil), Fernando Maza, Marta Minujin (Argentina), Jesus Rafael Soto, Carlos Cruz-Diez (Venezuela),Jaime Suárez (Puerto Rico)	Eduardo Ramírez Villamizar, Édgar Negret, Hernándo Tejada, Ómar Rayo, Carlos Rojas, Álvaro Barrios, Feliza Bursztyn, Bernardo Salcedo, Beatriz Daza, Jim Amaral, Ana Mercedes Hoyos, Hugo Zapata, Nadín Ospina, Consuelo Gómez, Elías Heim, Pablo Van Wong, Jorge Acero, Wilmer García, Pedro Alcántara, Beatriz González, Enrique Grau , María Thereza Negreiros, Rubens Gerchman , Yutaka Toyota, Fernando Maza, Marta Minujín, Jesus Rafael Soto, Carlos Cruz-Diez,Jaime Suárez	Varias	2006	2	16-feb.			120 días	Retrospectiva-colectiva		Escultura		Miguel González		Corporación para la Cultura de Cali, Ministerio de Cultura , Secretaría de Cultura y Turismo de Cali	Miguel González		Nuevas Salas	0136p									
Silencios	Érika Diettes	Érika Diettes	Colombiana	2006	2	Febrero				Individual		Fotografía, Objetos,Texto		NA		Comunidad Judía de Cali	Miguel González		Rotatoria	0137p									
Opus Senectus	Luis Eduardo Ricaurte	Luis Eduardo Ricaurte	Colombiana	2006	2	17-feb.			45 días	Individual		Arte Gráfico, Instalación, Video,Arte Digital		Jaime Tamayo		Espacio Temporal Internacional Circuit México-Inglaterra-Argentina-Colombia			Galería-taller										
Al Aire Libre: Paisajes	Andrés de Santa María, Antonio Caro, Pedro Nel Gómez, Luis Alberto Acuña, Gonzalo Ariza, Alejandro Obregón, Carlos Rojas, Ricardo Borrero, Jesús María Zamora, Santiago Martínez Delgado, Ignacio Gómez Jaramillo, Ricardo Gómez Campuzano, Luis Fernando Escobar, Alicia Barney, Antonio Barrera,Carlos Jacanamijoy	Andrés de Santa María, Antonio Caro, Pedro Nel Gómez, Luis Alberto Acuña, Gonzalo Ariza, Alejandro Obregón, Carlos Rojas, Ricardo Borrero, Jesús María Zamora, Santiago Martínez Delgado, Ignacio Gómez Jaramillo, Ricardo Gómez Campuzano, Luis Fernando Escobar, Alicia Barney, Antonio Barrera,Carlos Jacanamijoy Tisoy	Colombiana	2006	4	20-abr.			40 días	Colectiva		Varias		Carolina Vanegas,Miguel González		Ministerio de Cultura, Deprisa, Asociación de Amigos del Museo Nacional de Colombia,Ministerio de Cultura	Elvira Cuervo de Jaramillo		Rotatoria	0138p									
